"Genotype","Plot","Stand.count","Leaf.count","Date.of.emergence","PlantingDate","DAP","week"
"PHT60",1002,16,"9",2021-06-24,2021-05-20,35,"5"
"PHT60",987,17,"10.5",2021-06-28,2021-05-20,39,"6"
"PHT60",686,17,"10",2021-06-28,2021-05-20,39,"6"
"PHT60",665,18,"8.5",2021-06-23,2021-05-20,34,"5"
"PHT60",944,15,"10",2021-06-28,2021-05-20,39,"6"
"R78",1046,18,"8.5",2021-06-25,2021-05-20,36,"6"
"R78",684,18,"8",2021-06-25,2021-05-20,36,"6"
"R78",609,18,"7.5",2021-06-24,2021-05-20,35,"5"
"R78",988,17,"10",2021-06-28,2021-05-20,39,"6"
"R78",626,18,"7.5",2021-06-24,2021-05-20,35,"5"
"R78",943,17,"8",2021-06-25,2021-05-20,36,"6"
"R78",1001,18,"7.5",2021-06-24,2021-05-20,35,"5"
"R78",667,18,"8",2021-06-24,2021-05-20,35,"5"
"R84",952,15,"10",2021-06-24,2021-05-20,35,"5"
"R84",706,17,"9",2021-06-23,2021-05-20,34,"5"
"R84",1010,17,"9.5",2021-06-24,2021-05-20,35,"5"
"R84",1037,17,"10",2021-06-24,2021-05-20,35,"5"
"R84",761,16,"8.5",2021-06-23,2021-05-20,34,"5"
"R84",819,16,"10",2021-06-25,2021-05-20,36,"6"
"R84",979,18,"9.5",2021-06-24,2021-05-20,35,"5"
"R84",764,18,"9.5",2021-06-23,2021-05-20,34,"5"
"SA24",711,16,"12",2021-06-30,2021-05-20,41,"6"
"SA24",756,14,"10",2021-06-25,2021-05-20,36,"6"
"SA24",1095,17,"10.5",2021-06-25,2021-05-20,36,"6"
"SA24",769,17,"13",2021-07-01,2021-05-20,42,"6"
"SA24",814,15,"10",2021-06-25,2021-05-20,36,"6"
"SA24",1153,15,"11.5",2021-06-28,2021-05-20,39,"6"
"SA24",1126,16,"11",2021-06-28,2021-05-20,39,"6"
"SA24",1068,16,"11",2021-06-28,2021-05-20,39,"6"
"Shoe Peg",936,16,"9.5",2021-06-23,2021-05-20,34,"5"
"Shoe Peg",821,16,"10",2021-06-25,2021-05-20,36,"6"
"Shoe Peg",878,16,"9.5",2021-06-23,2021-05-20,34,"5"
"Shoe Peg",694,17,"8.5",2021-06-23,2021-05-20,34,"5"
"Shoe Peg",879,17,"9.5",2021-06-23,2021-05-20,34,"5"
"Shoe Peg",657,17,"9.5",2021-06-23,2021-05-20,34,"5"
"Shoe Peg",599,16,"10",2021-06-25,2021-05-20,36,"6"
"Shoe Peg",636,18,"10.5",2021-06-25,2021-05-20,36,"6"
"Tx303",701,18,"10",2021-06-28,2021-05-20,39,"6"
"Tx303",940,13,"10",2021-06-25,2021-05-20,36,"6"
"Tx303",592,16,"10",2021-06-28,2021-05-20,39,"6"
"Tx303",991,17,"10",2021-06-28,2021-05-20,39,"6"
